"","Sex","Race","Age","CRF","BMI","Risk","Range_upper","Range_lower"
"247","Female","Caucasian",75,1,15,31,23,41
"248","Female","Caucasian",75,2,15,44,31,59
"249","Female","Caucasian",75,3,15,59,44,73
"250","Female","Caucasian",75,4,15,71,57,81
"251","Female","Caucasian",75,5,15,80,71,85
"252","Female","Caucasian",75,6,15,85,0,0
"253","Female","Caucasian",75,0,20,17,0,0
"254","Female","Caucasian",75,1,20,25,19,32
"255","Female","Caucasian",75,2,20,37,25,49
"256","Female","Caucasian",75,3,20,52,36,67
"257","Female","Caucasian",75,4,20,67,52,78
"258","Female","Caucasian",75,5,20,78,69,84
"259","Female","Caucasian",75,6,20,85,0,0
"260","Female","Caucasian",75,0,25,15,0,0
"261","Female","Caucasian",75,1,25,22,16,25
"262","Female","Caucasian",75,2,25,31,21,40
"263","Female","Caucasian",75,3,25,44,30,58
"264","Female","Caucasian",75,4,25,59,45,73
"265","Female","Caucasian",75,5,25,74,64,81
"266","Female","Caucasian",75,6,25,84,0,0
"267","Female","Caucasian",75,0,30,13,0,0
"268","Female","Caucasian",75,1,30,18,14,22
"269","Female","Caucasian",75,2,30,27,18,34
"270","Female","Caucasian",75,3,30,38,25,51
"271","Female","Caucasian",75,4,30,52,39,66
"272","Female","Caucasian",75,5,30,67,57,76
"273","Female","Caucasian",75,6,30,80,0,0
"274","Female","Caucasian",75,0,35,11,0,0
"275","Female","Caucasian",75,1,35,16,12,19
"276","Female","Caucasian",75,2,35,23,15,29
"277","Female","Caucasian",75,3,35,33,21,45
"278","Female","Caucasian",75,4,35,45,33,59
"279","Female","Caucasian",75,5,35,60,51,70
"280","Female","Caucasian",75,6,35,74,0,0
"281","Female","Caucasian",75,0,40,9.3,0,0
"282","Female","Caucasian",75,1,40,13,10,16
"283","Female","Caucasian",75,2,40,19,13,25
"284","Female","Caucasian",75,3,40,28,18,39
"285","Female","Caucasian",75,4,40,39,28,52
"286","Female","Caucasian",75,5,40,53,44,63
"287","Female","Caucasian",75,6,40,68,0,0
"288","Female","Caucasian",75,0,45,8,0,0
"289","Female","Caucasian",75,1,45,11,8.6,14
"290","Female","Caucasian",75,2,45,16,11,22
"291","Female","Caucasian",75,3,45,24,15,33
"292","Female","Caucasian",75,4,45,34,24,46
"293","Female","Caucasian",75,5,45,47,39,56
"294","Female","Caucasian",75,6,45,61,0,0
"295","Female","Caucasian",80,0,15,26,0,0
"296","Female","Caucasian",80,1,15,38,29,51
"297","Female","Caucasian",80,2,15,51,38,65
"298","Female","Caucasian",80,3,15,63,49,75
"299","Female","Caucasian",80,4,15,72,60,81
"300","Female","Caucasian",80,5,15,79,71,84
"301","Female","Caucasian",80,6,15,83,0,0
"302","Female","Caucasian",80,0,20,23,0,0
"303","Female","Caucasian",80,1,20,33,25,43
"304","Female","Caucasian",80,2,20,46,33,58
"305","Female","Caucasian",80,3,20,59,45,71
"306","Female","Caucasian",80,4,20,70,59,79
"307","Female","Caucasian",80,5,20,79,70,84
"308","Female","Caucasian",80,6,20,84,0,0
"309","Female","Caucasian",80,0,25,20,0,0
"310","Female","Caucasian",80,1,25,29,22,34
"311","Female","Caucasian",80,2,25,40,28,51
"312","Female","Caucasian",80,3,25,53,39,65
"313","Female","Caucasian",80,4,25,67,54,77
"314","Female","Caucasian",80,5,25,77,68,83
"315","Female","Caucasian",80,6,25,84,0,0
"316","Female","Caucasian",80,0,30,17,0,0
"317","Female","Caucasian",80,1,30,25,19,29
"318","Female","Caucasian",80,2,30,34,24,44
"319","Female","Caucasian",80,3,30,47,34,59
"320","Female","Caucasian",80,4,30,60,48,72
"321","Female","Caucasian",80,5,30,72,62,79
"322","Female","Caucasian",80,6,30,81,0,0
"323","Female","Caucasian",80,0,35,15,0,0
"324","Female","Caucasian",80,1,35,21,16,24
"325","Female","Caucasian",80,2,35,29,20,37
"326","Female","Caucasian",80,3,35,41,29,52
"327","Female","Caucasian",80,4,35,53,41,66
"328","Female","Caucasian",80,5,35,66,56,74
"329","Female","Caucasian",80,6,35,77,0,0
"330","Female","Caucasian",80,0,40,13,0,0
"331","Female","Caucasian",80,1,40,18,13,21
"332","Female","Caucasian",80,2,40,25,17,32
"333","Female","Caucasian",80,3,40,35,24,45
"334","Female","Caucasian",80,4,40,47,35,59
"335","Female","Caucasian",80,5,40,60,50,69
"336","Female","Caucasian",80,6,40,72,0,0
"337","Female","Caucasian",80,0,45,11,0,0
"338","Female","Caucasian",80,1,45,15,11,18
"339","Female","Caucasian",80,2,45,21,14,27
"340","Female","Caucasian",80,3,45,30,20,39
"341","Female","Caucasian",80,4,45,41,30,52
